# DP | Time point in [s] | Count rate (background subtracted, negative rate clipped to 0)
IP LinLin
DP 0.000000 3.0
DP 0.393606 19.0
DP 0.787212 231.0
DP 1.180818 1136.0
DP 1.574424 1682.0
DP 1.968030 1984.0
DP 2.361636 2208.0
DP 2.755242 2251.0
DP 3.148848 2301.0
DP 3.542454 2285.0
DP 3.936060 2410.0
DP 4.329666 2180.0
DP 4.723272 2258.0
DP 5.116878 2274.0
DP 5.510484 2378.0
DP 5.904090 2231.0
DP 6.297696 2128.0
DP 6.691302 2132.0
DP 7.084908 2202.0
DP 7.478514 2312.0
DP 7.872120 2427.0
DP 8.265726 2664.0
DP 8.659332 2890.0
DP 9.052938 2894.0
DP 9.446544 3027.0
DP 9.840150 2933.0
DP 10.233756 2775.0
DP 10.627362 2558.0
DP 11.020968 2390.0
DP 11.414574 2337.0
DP 11.808180 2381.0
DP 12.201786 2413.0
DP 12.595392 2612.0
DP 12.988998 2784.0
DP 13.382604 2813.0
DP 13.776210 2644.0
DP 14.169816 2508.0
DP 14.563422 2260.0
DP 14.957028 2281.0
DP 15.350634 2271.0
DP 15.744240 2244.0
DP 16.137846 2241.0
DP 16.531452 2073.0
DP 16.925058 2230.0
DP 17.318664 2197.0
DP 17.712270 1995.0
DP 18.105876 1875.0
DP 18.499482 1807.0
DP 18.893088 1825.0
DP 19.286694 1676.0
DP 19.680300 1568.0
DP 20.073906 1409.0
DP 20.467512 1253.0
DP 20.861118 1152.0
DP 21.254724 1093.0
DP 21.648330 1060.0
DP 22.041936 952.0
DP 22.435542 836.0
DP 22.829148 836.0
DP 23.222754 736.0
DP 23.616360 752.0
DP 24.009966 548.0
DP 24.403572 628.0
DP 24.797178 620.0
DP 25.190784 607.0
DP 25.584390 487.0
DP 25.977996 471.0
DP 26.371602 452.0
DP 26.765208 471.0
DP 27.158814 452.0
DP 27.552420 453.0
DP 27.946026 308.0
DP 28.339632 347.0
DP 28.733238 349.0
DP 29.126844 309.0
DP 29.520450 333.0
DP 29.914056 407.0
DP 30.307662 379.0
DP 30.701268 320.0
DP 31.094874 397.0
DP 31.488480 336.0
DP 31.882086 312.0
DP 32.275692 261.0
DP 32.669298 295.0
DP 33.062904 320.0
DP 33.456510 280.0
DP 33.850116 351.0
DP 34.243722 275.0
DP 34.637328 239.0
DP 35.030934 162.0
DP 35.424540 254.0
DP 35.818146 248.0
DP 36.211752 255.0
DP 36.605358 264.0
DP 36.998964 214.0
DP 37.392570 207.0
DP 37.786176 173.0
DP 38.179782 217.0
DP 38.573388 188.0
DP 38.966994 142.0
DP 39.360600 202.0
DP 39.754206 165.0
DP 40.147812 191.0
DP 40.541418 121.0
DP 40.935024 117.0
DP 41.328630 214.0
DP 41.722236 202.0
DP 42.115842 105.0
DP 42.509448 212.0
DP 42.903054 148.0
DP 43.296660 87.0
DP 43.690266 27.0
DP 44.083872 95.0
DP 44.477478 75.0
DP 44.871084 117.0
DP 45.264690 115.0
DP 45.658296 138.0
DP 46.051902 64.0
DP 46.445508 148.0
DP 46.839114 36.0
DP 47.232720 92.0
DP 47.626326 90.0
DP 48.019932 13.0
DP 48.413538 75.0
DP 48.807144 106.0
DP 49.200750 109.0
DP 49.594356 54.0
DP 49.987962 91.0
DP 50.381568 64.0
DP 50.775174 108.0
DP 51.168780 58.0
DP 51.562386 159.0
DP 51.955992 2.0
DP 52.349598 80.0
DP 52.743204 65.0
DP 53.136810 51.0
DP 53.530416 80.0
DP 53.924022 92.0
DP 54.317628 147.0
DP 54.711234 114.0
DP 55.104840 0.0
EN
