# DP | Time point in [s] | Count rate (background subtracted, negative rate clipped to 0)
IP LINLIN
DP 0.000000 0.0
DP 0.000500 0.0
DP 0.001000 0.0
DP 0.001500 0.0
DP 0.002000 0.0
DP 0.002500 0.0
DP 0.003000 0.0
DP 0.003500 0.0
DP 0.004000 0.0
DP 0.004500 0.0
DP 0.005000 0.0
DP 0.005500 0.0
DP 0.006000 0.0
DP 0.006500 0.0
DP 0.007000 0.0
DP 0.007500 0.0
DP 0.008000 0.0
DP 0.008500 0.0
DP 0.009000 0.0
DP 0.009500 0.0
DP 0.010000 0.0
DP 0.010500 0.0
DP 0.011000 0.0
DP 0.011500 0.0
DP 0.012000 0.0
DP 0.012500 0.0
DP 0.013000 0.0
DP 0.013500 0.0
DP 0.014000 0.0
DP 0.014500 0.0
DP 0.015000 0.0
DP 0.015500 0.0
DP 0.016000 347254.7
DP 0.016500 16511570.1
DP 0.017000 0.0
DP 0.017500 9257728.9
DP 0.018000 2516531.4
DP 0.018500 3987668.6
DP 0.019000 2711560.7
DP 0.019500 1131096.6
DP 0.020000 948291.4
DP 0.020500 311668.7
DP 0.021000 493412.6
DP 0.021500 295109.8
DP 0.022000 249593.3
DP 0.022500 294527.7
DP 0.023000 195227.9
DP 0.023500 132838.7
DP 0.024000 151574.0
DP 0.024500 7018.0
DP 0.025000 0.0
DP 0.025500 0.0
DP 0.026000 0.0
DP 0.026500 85439.8
DP 0.027000 76007.4
DP 0.027500 96612.6
DP 0.028000 99937.7
DP 0.028500 72943.2
DP 0.029000 116087.5
DP 0.029500 128208.7
DP 0.030000 96612.6
DP 0.030500 90091.7
DP 0.031000 80621.4
DP 0.031500 88666.4
DP 0.032000 83737.8
DP 0.032500 62724.5
DP 0.033000 113689.4
DP 0.033500 85439.8
DP 0.034000 133844.3
DP 0.034500 106721.4
DP 0.035000 77544.3
DP 0.035500 80621.4
DP 0.036000 71505.5
DP 0.036500 90091.7
DP 0.037000 90091.7
DP 0.037500 99937.6
DP 0.038000 69705.0
DP 0.038500 48785.1
DP 0.039000 80621.4
DP 0.039500 54260.3
DP 0.040000 65615.4
DP 0.040500 65615.4
DP 0.041000 40812.1
DP 0.041500 86894.3
DP 0.042000 65615.4
DP 0.042500 46096.0
DP 0.043000 51506.3
DP 0.043500 46096.0
DP 0.044000 47021.6
DP 0.044500 83737.8
DP 0.045000 28126.7
DP 0.045500 54260.3
DP 0.046000 59868.7
DP 0.046500 38216.1
DP 0.047000 43438.5
DP 0.047500 48785.1
DP 0.048000 44313.4
DP 0.048500 62305.6
DP 0.049000 51506.3
DP 0.049500 59368.5
DP 0.050000 86894.3
DP 0.050500 33113.5
DP 0.051000 48785.1
DP 0.051500 23251.7
DP 0.052000 33113.5
DP 0.052500 16140.9
DP 0.053000 25675.4
DP 0.053500 46096.0
DP 0.054000 36379.4
DP 0.054500 28126.6
DP 0.055000 57047.5
DP 0.055500 63979.5
DP 0.056000 72943.1
DP 0.056500 62724.4
DP 0.057000 62724.4
DP 0.057500 23251.7
DP 0.058000 44313.3
DP 0.058500 48785.1
DP 0.059000 48785.1
DP 0.059500 74505.9
DP 0.060000 54260.2
DP 0.060500 59868.7
DP 0.061000 54260.2
DP 0.061500 40812.1
DP 0.062000 62724.4
DP 0.062500 31243.5
DP 0.063000 21320.9
DP 0.063500 61065.6
DP 0.064000 61065.6
DP 0.064500 54260.2
DP 0.065000 58187.7
DP 0.065500 54260.2
DP 0.066000 36379.4
DP 0.066500 51506.3
DP 0.067000 25675.4
DP 0.067500 35650.0
DP 0.068000 28126.6
DP 0.068500 51506.3
DP 0.069000 51506.3
DP 0.069500 48785.1
DP 0.070000 43438.5
DP 0.070500 46096.0
DP 0.071000 54260.2
DP 0.071500 41637.3
DP 0.072000 35650.0
DP 0.072500 44313.3
DP 0.073000 46096.0
DP 0.073500 23251.6
DP 0.074000 46096.0
DP 0.074500 28126.6
DP 0.075000 44313.3
DP 0.075500 38216.1
DP 0.076000 46096.0
DP 0.076500 40812.0
DP 0.077000 33113.4
DP 0.077500 20854.9
DP 0.078000 41637.3
DP 0.078500 25675.4
DP 0.079000 35650.0
DP 0.079500 40812.0
DP 0.080000 20854.9
DP 0.080500 38216.0
DP 0.081000 28126.6
DP 0.081500 33113.4
DP 0.082000 48785.1
DP 0.082500 38216.0
DP 0.083000 43438.5
DP 0.083500 62724.4
DP 0.084000 46096.0
DP 0.084500 55344.9
DP 0.085000 20854.9
DP 0.085500 57047.5
DP 0.086000 11529.6
DP 0.086500 33113.4
DP 0.087000 28126.6
DP 0.087500 33113.4
DP 0.088000 30605.8
DP 0.088500 38216.0
DP 0.089000 35650.0
DP 0.089500 28126.6
DP 0.090000 28126.6
DP 0.090500 28126.6
DP 0.091000 38216.0
DP 0.091500 23251.6
DP 0.092000 16526.4
DP 0.092500 20854.9
DP 0.093000 28126.6
DP 0.093500 35650.0
DP 0.094000 25675.4
DP 0.094500 33113.4
DP 0.095000 13822.6
DP 0.095500 43438.5
DP 0.096000 11529.6
DP 0.096500 35650.0
DP 0.097000 28126.6
DP 0.097500 16140.8
DP 0.098000 28126.6
DP 0.098500 24283.3
DP 0.099000 18484.8
DP 0.099500 13822.6
DP 0.100000 29333.0
DP 0.100500 33113.4
DP 0.101000 30605.8
DP 0.101500 36379.4
DP 0.102000 18910.1
DP 0.102500 31243.4
DP 0.103000 30622.7
DP 0.103500 30605.8
DP 0.104000 16140.8
DP 0.104500 18484.8
DP 0.105000 2602.6
DP 0.105500 26225.3
DP 0.106000 21320.8
DP 0.106500 16140.8
DP 0.107000 23251.6
DP 0.107500 18484.8
DP 0.108000 28719.9
DP 0.108500 16140.8
DP 0.109000 11529.6
DP 0.109500 25675.3
DP 0.110000 11529.6
DP 0.110500 30605.8
DP 0.111000 9261.5
DP 0.111500 18484.8
DP 0.112000 30605.8
DP 0.112500 20854.9
DP 0.113000 23759.1
DP 0.113500 14169.2
DP 0.114000 18484.8
DP 0.114500 16140.8
DP 0.115000 9261.5
DP 0.115500 28126.6
DP 0.116000 9532.8
DP 0.116500 9261.5
DP 0.117000 9261.5
DP 0.117500 13822.5
DP 0.118000 13822.5
DP 0.118500 20854.9
DP 0.119000 13822.5
DP 0.119500 20854.9
DP 0.120000 13822.5
DP 0.120500 18484.8
DP 0.121000 16140.8
DP 0.121500 9261.5
DP 0.122000 28719.9
DP 0.122500 46095.9
DP 0.123000 9261.5
DP 0.123500 21320.8
DP 0.124000 7252.7
DP 0.124500 16526.3
DP 0.125000 11529.6
DP 0.125500 4798.3
DP 0.126000 9261.5
DP 0.126500 11529.6
DP 0.127000 20854.9
DP 0.127500 23251.6
DP 0.128000 16526.3
DP 0.128500 14169.1
DP 0.129000 9261.5
DP 0.129500 7017.9
DP 0.130000 28126.5
DP 0.130500 9261.5
DP 0.131000 9261.5
DP 0.131500 9261.5
DP 0.132000 4798.3
DP 0.132500 9812.7
DP 0.133000 16526.3
DP 0.133500 16140.8
DP 0.134000 13822.5
DP 0.134500 33113.4
DP 0.135000 18910.0
DP 0.135500 21320.8
DP 0.136000 4798.3
DP 0.136500 18484.7
DP 0.137000 20854.8
DP 0.137500 18484.7
DP 0.138000 14169.1
DP 0.138500 11838.1
DP 0.139000 7017.8
DP 0.139500 21320.8
DP 0.140000 4798.3
DP 0.140500 9261.4
DP 0.141000 11529.5
DP 0.141500 2602.5
DP 0.142000 16140.8
DP 0.142500 2602.5
DP 0.143000 2602.5
DP 0.143500 16140.7
DP 0.144000 7017.8
DP 0.144500 11529.5
DP 0.145000 11529.5
DP 0.145500 13822.5
DP 0.146000 11838.1
DP 0.146500 11529.5
DP 0.147000 11529.5
DP 0.147500 13822.5
DP 0.148000 14169.1
DP 0.148500 4798.3
DP 0.149000 5202.7
DP 0.149500 0.0
DP 0.150000 9532.7
DP 0.150500 11838.1
DP 0.151000 2602.5
DP 0.151500 9532.7
DP 0.152000 7017.8
DP 0.152500 13822.5
DP 0.153000 11838.1
DP 0.153500 7017.8
DP 0.154000 9261.4
DP 0.154500 7017.8
DP 0.155000 7017.8
DP 0.155500 7017.8
DP 0.156000 4798.3
DP 0.156500 13822.5
DP 0.157000 2602.5
DP 0.157500 430.0
DP 0.158000 9261.4
DP 0.158500 5202.7
DP 0.159000 11529.5
DP 0.159500 9532.7
DP 0.160000 4798.3
DP 0.160500 11529.5
DP 0.161000 4798.3
DP 0.161500 9261.4
DP 0.162000 7017.8
DP 0.162500 2602.5
DP 0.163000 7017.8
DP 0.163500 7017.8
DP 0.164000 7017.8
DP 0.164500 18910.0
DP 0.165000 4798.3
DP 0.165500 11838.0
DP 0.166000 9261.4
DP 0.166500 7017.8
DP 0.167000 7017.8
DP 0.167500 4798.3
DP 0.168000 7017.8
DP 0.168500 16526.3
DP 0.169000 4798.3
DP 0.169500 0.0
DP 0.170000 11529.5
DP 0.170500 0.0
DP 0.171000 0.0
DP 0.171500 0.0
DP 0.172000 0.0
DP 0.172500 0.0
DP 0.173000 0.0
DP 0.173500 0.0
DP 0.174000 0.0
DP 0.174500 0.0
DP 0.175000 0.0
DP 0.175500 0.0
DP 0.176000 0.0
DP 0.176500 0.0
DP 0.177000 0.0
DP 0.177500 0.0
DP 0.178000 0.0
DP 0.178500 0.0
DP 0.179000 0.0
DP 0.179500 0.0
DP 0.180000 0.0
DP 0.180500 0.0
DP 0.181000 0.0
DP 0.181500 0.0
DP 0.182000 0.0
DP 0.182500 0.0
DP 0.183000 0.0
DP 0.183500 0.0
DP 0.184000 0.0
DP 0.184500 0.0
DP 0.185000 0.0
DP 0.185500 0.0
DP 0.186000 0.0
DP 0.186500 0.0
DP 0.187000 0.0
DP 0.187500 0.0
DP 0.188000 0.0
DP 0.188500 0.0
DP 0.189000 0.0
DP 0.189500 0.0
DP 0.190000 0.0
DP 0.190500 0.0
DP 0.191000 0.0
DP 0.191500 0.0
DP 0.192000 0.0
DP 0.192500 0.0
DP 0.193000 0.0
DP 0.193500 0.0
DP 0.194000 0.0
DP 0.194500 0.0
DP 0.195000 0.0
DP 0.195500 0.0
DP 0.196000 0.0
DP 0.196500 0.0
DP 0.197000 0.0
DP 0.197500 0.0
DP 0.198000 0.0
DP 0.198500 0.0
DP 0.199000 0.0
DP 0.199500 0.0
DP 0.200000 0.0
DP 0.200500 0.0
DP 0.201000 0.0
DP 0.201500 0.0
DP 0.202000 0.0
DP 0.202500 0.0
DP 0.203000 0.0
DP 0.203500 0.0
DP 0.204000 0.0
DP 0.204500 0.0
DP 0.205000 0.0
DP 0.205500 0.0
DP 0.206000 0.0
DP 0.206500 0.0
DP 0.207000 0.0
DP 0.207500 0.0
DP 0.208000 0.0
DP 0.208500 0.0
DP 0.209000 0.0
DP 0.209500 0.0
DP 0.210000 0.0
DP 0.210500 0.0
DP 0.211000 0.0
DP 0.211500 0.0
