IP LINLIN
DP 10.0 1.421445e-04
DP 11.0 1.271031e-04
DP 12.0 1.144958e-04
DP 13.0 1.037808e-04
DP 14.0 9.456665e-05
DP 15.0 8.656378e-05
DP 16.0 7.955292e-05
DP 17.0 7.336499e-05
DP 18.0 6.786742e-05
DP 19.0 6.295477e-05
DP 20.0 5.854208e-05
DP 21.0 5.456010e-05
DP 22.0 5.095181e-05
DP 23.0 4.766982e-05
DP 24.0 4.467440e-05
DP 25.0 4.193201e-05
DP 26.0 3.941409e-05
DP 27.0 3.709620e-05
DP 28.0 3.495731e-05
DP 29.0 3.297919e-05
DP 30.0 3.114596e-05
DP 31.0 2.944376e-05
DP 32.0 2.786039e-05
DP 33.0 2.638510e-05
DP 34.0 2.500837e-05
DP 35.0 2.372174e-05
DP 36.0 2.251766e-05
DP 37.0 2.138940e-05
DP 38.0 2.033088e-05
DP 39.0 1.933666e-05
DP 40.0 1.840183e-05
DP 41.0 1.752195e-05
DP 42.0 1.669297e-05
DP 43.0 1.591124e-05
DP 44.0 1.517342e-05
DP 45.0 1.447647e-05
DP 46.0 1.381761e-05
DP 47.0 1.319428e-05
DP 48.0 1.260415e-05
DP 49.0 1.204507e-05
DP 50.0 1.151505e-05
DP 51.0 1.101228e-05
DP 52.0 1.053507e-05
DP 53.0 1.008185e-05
DP 54.0 9.651189e-06
DP 55.0 9.241744e-06
DP 56.0 8.852274e-06
DP 57.0 8.481625e-06
DP 58.0 8.128722e-06
DP 59.0 7.792564e-06
DP 60.0 7.472218e-06
DP 61.0 7.166813e-06
DP 62.0 6.875535e-06
DP 63.0 6.597623e-06
DP 64.0 6.332364e-06
DP 65.0 6.079091e-06
DP 66.0 5.837178e-06
DP 67.0 5.606037e-06
DP 68.0 5.385116e-06
DP 69.0 5.173897e-06
DP 70.0 4.971892e-06
DP 71.0 4.778642e-06
DP 72.0 4.593715e-06
DP 73.0 4.416702e-06
DP 74.0 4.247219e-06
DP 75.0 4.084904e-06
DP 76.0 3.929414e-06
DP 77.0 3.780425e-06
DP 78.0 3.637631e-06
DP 79.0 3.500743e-06
DP 80.0 3.369486e-06
DP 81.0 3.243602e-06
DP 82.0 3.122845e-06
DP 83.0 3.006981e-06
DP 84.0 2.895791e-06
DP 85.0 2.789063e-06
DP 86.0 2.686600e-06
DP 87.0 2.588213e-06
DP 88.0 2.493722e-06
DP 89.0 2.402957e-06
DP 90.0 2.315756e-06
DP 91.0 2.231964e-06
DP 92.0 2.151436e-06
DP 93.0 2.074031e-06
DP 94.0 1.999617e-06
DP 95.0 1.928067e-06
DP 96.0 1.859260e-06
DP 97.0 1.793082e-06
DP 98.0 1.729423e-06
DP 99.0 1.668179e-06
DP 100.0 1.609250e-06
DP 101.0 1.552540e-06
DP 102.0 1.497960e-06
DP 103.0 1.445422e-06
DP 104.0 1.394844e-06
DP 105.0 1.346147e-06
DP 106.0 1.299254e-06
DP 107.0 1.254095e-06
DP 108.0 1.210599e-06
DP 109.0 1.168700e-06
DP 110.0 1.128337e-06
DP 111.0 1.089448e-06
DP 112.0 1.051974e-06
DP 113.0 1.015862e-06
DP 114.0 9.810585e-07
DP 115.0 9.475118e-07
DP 116.0 9.151738e-07
DP 117.0 8.839979e-07
DP 118.0 8.539396e-07
DP 119.0 8.249561e-07
DP 120.0 7.970064e-07
DP 121.0 7.700512e-07
DP 122.0 7.440529e-07
DP 123.0 7.189754e-07
DP 124.0 6.947839e-07
DP 125.0 6.714453e-07
DP 126.0 6.489276e-07
DP 127.0 6.272002e-07
DP 128.0 6.062337e-07
DP 129.0 5.860000e-07
DP 130.0 5.664719e-07
DP 131.0 5.476234e-07
DP 132.0 5.294295e-07
DP 133.0 5.118662e-07
DP 134.0 4.949104e-07
DP 135.0 4.785401e-07
DP 136.0 4.627338e-07
DP 137.0 4.474711e-07
DP 138.0 4.327324e-07
DP 139.0 4.184987e-07
