IP LINLIN
DP 0.000000 0.00
DP 0.016070 0.00
DP 0.022513 472.91
DP 0.027263 467.29
DP 0.032348 0.00
DP 0.037575 551.96
DP 0.042988 0.00
DP 0.047528 650.07
DP 0.052549 314.80
DP 0.058042 58.59
DP 0.062457 39.53
DP 0.067870 352.93
DP 0.072862 371.99
DP 0.078009 80.45
DP 0.082690 55.78
DP 0.087291 374.79
DP 0.092970 36.72
DP 0.102034 39.53
DP 0.107463 393.85
DP 0.112298 1459.64
DP 0.117509 571.02
DP 0.122501 295.74
DP 0.127494 1102.51
DP 0.132470 1225.30
DP 0.137571 2015.81
DP 0.142407 887.22
DP 0.147367 571.02
DP 0.152485 810.98
DP 0.157586 415.72
DP 0.162248 118.58
DP 0.167507 631.01
DP 0.172592 1105.32
DP 0.177460 947.21
DP 0.182561 748.18
DP 0.187412 969.08
DP 0.192514 216.69
DP 0.197490 453.84
DP 0.202467 789.11
DP 0.207677 1304.35
DP 0.212278 890.03
DP 0.217505 1854.90
DP 0.222558 944.41
DP 0.227708 371.99
DP 0.232543 631.01
DP 0.237629 235.75
DP 0.242278 350.12
DP 0.247598 1459.64
DP 0.252449 587.27
DP 0.257377 1127.18
DP 0.262543 317.61
DP 0.267455 748.18
DP 0.272213 590.08
DP 0.276862 374.79
DP 0.282416 1023.46
DP 0.287158 549.15
DP 0.292151 571.02
DP 0.297346 1969.27
DP 0.302383 1617.75
DP 0.307189 1598.69
DP 0.312259 590.08
DP 0.317376 1933.95
DP 0.322587 1225.30
DP 0.327454 3776.81
DP 0.332289 2244.55
DP 0.337407 1421.52
DP 0.342117 1683.35
DP 0.347453 2310.15
DP 0.352429 2487.31
DP 0.357515 3714.01
DP 0.362366 2806.32
DP 0.367233 4697.95
DP 0.372574 2241.92
DP 0.377592 2394.42
DP 0.382610 4338.68
DP 0.387628 6892.90
DP 0.392428 2966.26
DP 0.397446 6168.57
DP 0.402464 4414.92
DP 0.407482 3652.47
DP 0.412390 2737.52
DP 0.417299 3690.59
DP 0.422535 3423.73
DP 0.427553 6549.80
DP 0.432571 8570.30
DP 0.437371 6206.69
DP 0.442389 6282.94
DP 0.447189 7312.25
DP 0.452643 4719.90
DP 0.457443 8684.67
DP 0.462679 4491.17
DP 0.467479 5215.50
DP 0.472497 5367.99
DP 0.477515 4681.78
DP 0.482751 3957.45
DP 0.487769 4414.92
DP 0.492350 3995.57
DP 0.497150 3004.38
DP 0.502604 4300.55
DP 0.507404 3233.12
DP 0.512422 5406.11
DP 0.517658 3156.87
DP 0.522676 5253.62
DP 0.527694 5406.11
DP 0.532494 5367.99
DP 0.537512 7388.50
DP 0.542530 5901.71
DP 0.547547 1936.94
DP 0.552347 5406.11
DP 0.557147 3347.48
DP 0.562383 3538.10
DP 0.567401 6244.82
DP 0.572201 6931.03
DP 0.576782 9447.13
DP 0.582455 7579.11
DP 0.587255 7998.46
DP 0.592273 12458.83
DP 0.597291 14403.09
DP 0.602308 18558.47
DP 0.607545 15279.91
DP 0.612344 16690.46
DP 0.617580 22599.49
DP 0.622380 18749.09
DP 0.627398 16995.44
DP 0.632416 14021.86
DP 0.637652 19778.40
DP 0.642234 19702.15
DP 0.647688 32663.90
DP 0.652270 28127.29
DP 0.657288 19549.66
DP 0.662524 19320.93
DP 0.667542 28279.78
DP 0.672560 20426.49
DP 0.677578 18215.37
DP 0.682814 17147.93
DP 0.687613 14479.33
DP 0.692631 18520.35
DP 0.697867 16423.60
DP 0.702449 15508.65
DP 0.707685 12649.44
DP 0.712485 12649.44
DP 0.717721 12840.06
DP 0.722521 8799.04
DP 0.727539 10438.32
DP 0.732338 4872.40
DP 0.737575 5901.71
DP 0.742374 6626.04
DP 0.747610 10095.22
DP 0.752410 4986.76
DP 0.757646 4567.41
DP 0.762882 7617.24
DP 0.767682 5291.75
DP 0.772700 5825.46
DP 0.777718 4414.92
DP 0.782518 3919.33
DP 0.787754 2890.01
DP 0.792772 6587.92
DP 0.797572 5711.10
DP 0.802590 4338.68
DP 0.807608 3499.98
DP 0.812844 2928.13
DP 0.817425 7007.27
DP 0.822225 4148.06
DP 0.827679 3080.63
DP 0.832479 2966.26
DP 0.837715 5215.50
DP 0.842297 3004.38
DP 0.847533 2241.92
DP 0.852333 4338.68
DP 0.857351 4453.04
DP 0.862150 2165.68
DP 0.867386 1746.33
DP 0.872295 1174.49
DP 0.877422 2737.52
DP 0.882440 1708.21
DP 0.887676 3499.98
DP 0.892694 1326.98
DP 0.897494 3843.08
DP 0.902512 1670.08
DP 0.907530 3080.63
DP 0.912330 1022.00
DP 0.917566 1936.94
DP 0.922584 335.79
DP 0.927383 1326.98
DP 0.932401 2127.56
DP 0.937638 1670.08
DP 0.942655 1708.21
DP 0.947237 450.15
DP 0.952255 717.01
DP 0.957491 2051.31
DP 0.962509 640.77
DP 0.967091 373.91
DP 0.972545 831.38
DP 0.977563 1365.10
DP 0.982363 831.38
DP 0.987599 0.00
DP 0.992180 0.00
DP 0.997635 450.15
DP 1.002871 431.09
DP 1.007452 1098.24
DP 1.012252 335.79
DP 1.017270 1670.08
DP 1.022615 0.00
DP 1.027524 640.77
DP 1.032542 335.79
DP 1.037778 450.15
DP 1.042360 488.28
