IP LINLIN
DP 0.0 0.0
DP 0.031250 30.000000
DP 0.062500 15.000000
DP 0.093750 9.000000
DP 0.125000 10.000000
DP 0.156250 10.000000
DP 0.187500 5.000000
DP 0.218750 10.000000
DP 0.250000 4.000000
DP 0.281250 11.000000
DP 0.312500 5.000000
DP 0.343750 3.000000
DP 0.375000 5.000000
DP 0.406250 9.000000
DP 0.437500 6.000000
DP 0.468750 9.000000
DP 0.500000 12.000000
DP 0.531250 7.000000
DP 0.562500 5.000000
DP 0.593750 2.000000
DP 0.625000 1.000000
DP 0.656250 6.000000
DP 0.687500 2.000000
DP 0.718750 1.000000
DP 0.750000 3.000000
DP 0.781250 3.000000
DP 0.812500 0.000000
DP 0.843750 3.000000
DP 0.875000 3.000000
DP 0.906250 0.000000
EN
