IP LINLIN
DP 100.0 1.609250e-06
DP 101.0 1.552540e-06
DP 102.0 1.497960e-06
DP 103.0 1.445422e-06
DP 104.0 1.394844e-06
DP 105.0 1.346147e-06
DP 106.0 1.299254e-06
DP 107.0 1.254095e-06
DP 108.0 1.210599e-06
DP 109.0 1.168700e-06
DP 110.0 1.128337e-06
DP 111.0 1.089448e-06
DP 112.0 1.051974e-06
DP 113.0 1.015862e-06
DP 114.0 9.810585e-07
DP 115.0 9.475118e-07
DP 116.0 9.151738e-07
DP 117.0 8.839979e-07
DP 118.0 8.539396e-07
DP 119.0 8.249561e-07
DP 120.0 7.970064e-07
DP 121.0 7.700512e-07
DP 122.0 7.440529e-07
DP 123.0 7.189754e-07
DP 124.0 6.947839e-07
DP 125.0 6.714453e-07
DP 126.0 6.489276e-07
DP 127.0 6.272002e-07
DP 128.0 6.062337e-07
DP 129.0 5.860000e-07
DP 130.0 5.664719e-07
DP 131.0 5.476234e-07
DP 132.0 5.294295e-07
DP 133.0 5.118662e-07
DP 134.0 4.949104e-07
DP 135.0 4.785401e-07
DP 136.0 4.627338e-07
DP 137.0 4.474711e-07
DP 138.0 4.327324e-07
DP 139.0 4.184987e-07
DP 140.0 4.047518e-07
DP 141.0 3.914743e-07
DP 142.0 3.786493e-07
DP 143.0 3.662605e-07
DP 144.0 3.542926e-07
DP 145.0 3.427304e-07
DP 146.0 3.315596e-07
DP 147.0 3.207663e-07
DP 148.0 3.103371e-07
DP 149.0 3.002592e-07
DP 150.0 2.905202e-07
DP 151.0 2.811083e-07
DP 152.0 2.720118e-07
DP 153.0 2.632199e-07
DP 154.0 2.547218e-07
DP 155.0 2.465073e-07
DP 156.0 2.385666e-07
DP 157.0 2.308901e-07
DP 158.0 2.234687e-07
DP 159.0 2.162935e-07
DP 160.0 2.093561e-07
DP 161.0 2.026483e-07
DP 162.0 1.961621e-07
DP 163.0 1.898899e-07
DP 164.0 1.838245e-07
DP 165.0 1.779587e-07
DP 166.0 1.722857e-07
DP 167.0 1.667989e-07
DP 168.0 1.614920e-07
DP 169.0 1.563589e-07
DP 170.0 1.513937e-07
DP 171.0 1.465906e-07
DP 172.0 1.419443e-07
DP 173.0 1.374493e-07
DP 174.0 1.331007e-07
DP 175.0 1.288934e-07
DP 176.0 1.248228e-07
DP 177.0 1.208842e-07
DP 178.0 1.170732e-07
DP 179.0 1.133855e-07
DP 180.0 1.098170e-07
DP 181.0 1.063637e-07
DP 182.0 1.030219e-07
DP 183.0 9.978771e-08
DP 184.0 9.665763e-08
DP 185.0 9.362820e-08
DP 186.0 9.069607e-08
DP 187.0 8.785802e-08
DP 188.0 8.511095e-08
DP 189.0 8.245185e-08
DP 190.0 7.987782e-08
DP 191.0 7.738605e-08
DP 192.0 7.497384e-08
DP 193.0 7.263858e-08
DP 194.0 7.037774e-08
DP 195.0 6.818887e-08
DP 196.0 6.606963e-08
DP 197.0 6.401774e-08
DP 198.0 6.203100e-08
DP 199.0 6.010727e-08
DP 200.0 5.824452e-08
DP 201.0 5.644074e-08
DP 202.0 5.469404e-08
DP 203.0 5.300254e-08
DP 204.0 5.136447e-08
DP 205.0 4.977809e-08
DP 206.0 4.824172e-08
DP 207.0 4.675376e-08
DP 208.0 4.531263e-08
DP 209.0 4.391682e-08
DP 210.0 4.256488e-08
DP 211.0 4.125539e-08
DP 212.0 3.998698e-08
DP 213.0 3.875834e-08
DP 214.0 3.756819e-08
DP 215.0 3.641529e-08
DP 216.0 3.529845e-08
DP 217.0 3.421652e-08
DP 218.0 3.316837e-08
DP 219.0 3.215294e-08
DP 220.0 3.116917e-08
DP 221.0 3.021605e-08
DP 222.0 2.929262e-08
DP 223.0 2.839792e-08
DP 224.0 2.753104e-08
DP 225.0 2.669109e-08
DP 226.0 2.587723e-08
DP 227.0 2.508862e-08
DP 228.0 2.432446e-08
DP 229.0 2.358398e-08
DP 230.0 2.286643e-08
DP 231.0 2.217109e-08
DP 232.0 2.149725e-08
DP 233.0 2.084423e-08
DP 234.0 2.021138e-08
DP 235.0 1.959807e-08
DP 236.0 1.900367e-08
DP 237.0 1.842759e-08
DP 238.0 1.786926e-08
DP 239.0 1.732812e-08
DP 240.0 1.680363e-08
DP 241.0 1.629526e-08
DP 242.0 1.580252e-08
DP 243.0 1.532491e-08
DP 244.0 1.486196e-08
DP 245.0 1.441321e-08
DP 246.0 1.397821e-08
DP 247.0 1.355655e-08
DP 248.0 1.314779e-08
DP 249.0 1.275155e-08
DP 250.0 1.236742e-08
DP 251.0 1.199504e-08
DP 252.0 1.163403e-08
DP 253.0 1.128405e-08
DP 254.0 1.094475e-08
DP 255.0 1.061580e-08
DP 256.0 1.029687e-08
DP 257.0 9.987661e-09
DP 258.0 9.687868e-09
DP 259.0 9.397199e-09
DP 260.0 9.115373e-09
DP 261.0 8.842114e-09
DP 262.0 8.577160e-09
DP 263.0 8.320253e-09
DP 264.0 8.071145e-09
DP 265.0 7.829595e-09
DP 266.0 7.595370e-09
DP 267.0 7.368245e-09
DP 268.0 7.148001e-09
DP 269.0 6.934426e-09
DP 270.0 6.727315e-09
DP 271.0 6.526470e-09
DP 272.0 6.331698e-09
DP 273.0 6.142812e-09
DP 274.0 5.959632e-09
DP 275.0 5.781983e-09
DP 276.0 5.609696e-09
DP 277.0 5.442606e-09
DP 278.0 5.280554e-09
DP 279.0 5.123387e-09
DP 280.0 4.970954e-09
DP 281.0 4.823111e-09
DP 282.0 4.679717e-09
DP 283.0 4.540638e-09
DP 284.0 4.405741e-09
DP 285.0 4.274899e-09
DP 286.0 4.147988e-09
DP 287.0 4.024888e-09
DP 288.0 3.905484e-09
DP 289.0 3.789663e-09
DP 290.0 3.677316e-09
DP 291.0 3.568337e-09
DP 292.0 3.462625e-09
DP 293.0 3.360079e-09
DP 294.0 3.260604e-09
DP 295.0 3.164106e-09
DP 296.0 3.070495e-09
DP 297.0 2.979685e-09
DP 298.0 2.891589e-09
DP 299.0 2.806126e-09
DP 300.0 2.723216e-09
DP 301.0 2.642782e-09
DP 302.0 2.564749e-09
DP 303.0 2.489044e-09
DP 304.0 2.415597e-09
DP 305.0 2.344340e-09
DP 306.0 2.275207e-09
DP 307.0 2.208133e-09
DP 308.0 2.143057e-09
DP 309.0 2.079918e-09
DP 310.0 2.018659e-09
DP 311.0 1.959222e-09
