start, stop
1.835530500000000000e+09, 1.835530980000000000e+09
1.835574180000000000e+09, 1.835574660000000000e+09
1.835617860000000000e+09, 1.835618340000000000e+09
1.835661540000000000e+09, 1.835662020000000000e+09
1.835705220000000000e+09, 1.835705700000000000e+09
1.835748900000000000e+09, 1.835749380000000000e+09
1.835792580000000000e+09, 1.835793060000000000e+09
1.835836260000000000e+09, 1.835836740000000000e+09
1.835879940000000000e+09, 1.835880420000000000e+09
1.835923620000000000e+09, 1.835924100000000000e+09
1.835967300000000000e+09, 1.835967780000000000e+09
1.836010980000000000e+09, 1.836011460000000000e+09
1.836054660000000000e+09, 1.836055140000000000e+09
1.836098340000000000e+09, 1.836098820000000000e+09
1.836142020000000000e+09, 1.836142500000000000e+09
1.836185700000000000e+09, 1.836186180000000000e+09
1.836229380000000000e+09, 1.836229860000000000e+09
1.836273060000000000e+09, 1.836273540000000000e+09
1.836316740000000000e+09, 1.836317220000000000e+09
1.836360420000000000e+09, 1.836360900000000000e+09
1.836404100000000000e+09, 1.836404580000000000e+09
1.836447780000000000e+09, 1.836448260000000000e+09
1.836491460000000000e+09, 1.836491940000000000e+09
1.836535140000000000e+09, 1.836535620000000000e+09
1.836578820000000000e+09, 1.836579300000000000e+09
1.836622500000000000e+09, 1.836622980000000000e+09
1.836666180000000000e+09, 1.836666660000000000e+09
1.836709860000000000e+09, 1.836710340000000000e+09
1.836753540000000000e+09, 1.836754020000000000e+09
1.836797220000000000e+09, 1.836797700000000000e+09
1.836840900000000000e+09, 1.836841380000000000e+09
1.836884580000000000e+09, 1.836885060000000000e+09
1.836928260000000000e+09, 1.836928740000000000e+09
1.836971940000000000e+09, 1.836972420000000000e+09
1.837015620000000000e+09, 1.837016100000000000e+09
1.837059300000000000e+09, 1.837059780000000000e+09
1.837102980000000000e+09, 1.837103460000000000e+09
1.837146660000000000e+09, 1.837147140000000000e+09
1.837190340000000000e+09, 1.837190820000000000e+09
1.837234020000000000e+09, 1.837234500000000000e+09
1.837277700000000000e+09, 1.837278180000000000e+09
1.837321380000000000e+09, 1.837321860000000000e+09
1.837365060000000000e+09, 1.837365540000000000e+09
1.837408740000000000e+09, 1.837409220000000000e+09
1.837452420000000000e+09, 1.837452900000000000e+09
1.837496100000000000e+09, 1.837496580000000000e+09
1.837539780000000000e+09, 1.837540260000000000e+09
1.837583460000000000e+09, 1.837583940000000000e+09
1.837627140000000000e+09, 1.837627620000000000e+09
1.837670820000000000e+09, 1.837671300000000000e+09
1.837714500000000000e+09, 1.837714980000000000e+09
1.837758180000000000e+09, 1.837758660000000000e+09
1.837801860000000000e+09, 1.837802340000000000e+09
1.837845540000000000e+09, 1.837846020000000000e+09
1.837889220000000000e+09, 1.837889700000000000e+09
1.837932900000000000e+09, 1.837933380000000000e+09
1.837976580000000000e+09, 1.837977060000000000e+09
1.838020260000000000e+09, 1.838020740000000000e+09
1.838063940000000000e+09, 1.838064420000000000e+09
1.838107620000000000e+09, 1.838108100000000000e+09
1.838151300000000000e+09, 1.838151780000000000e+09
1.838194980000000000e+09, 1.838195460000000000e+09
1.838238660000000000e+09, 1.838239140000000000e+09
1.838282340000000000e+09, 1.838282820000000000e+09
1.838326020000000000e+09, 1.838326500000000000e+09
1.838369700000000000e+09, 1.838370180000000000e+09
1.838413380000000000e+09, 1.838413860000000000e+09
1.838457060000000000e+09, 1.838457540000000000e+09
1.838500740000000000e+09, 1.838501220000000000e+09
1.838544420000000000e+09, 1.838544900000000000e+09
1.838588100000000000e+09, 1.838588580000000000e+09
1.838631780000000000e+09, 1.838632260000000000e+09
1.838675460000000000e+09, 1.838675940000000000e+09
1.838719140000000000e+09, 1.838719620000000000e+09
1.838762820000000000e+09, 1.838763300000000000e+09
1.838806500000000000e+09, 1.838806980000000000e+09
1.838850180000000000e+09, 1.838850660000000000e+09
1.838893860000000000e+09, 1.838894340000000000e+09
1.838937540000000000e+09, 1.838938020000000000e+09
1.838981220000000000e+09, 1.838981700000000000e+09
1.839024900000000000e+09, 1.839025380000000000e+09
1.839068580000000000e+09, 1.839069060000000000e+09
1.839112260000000000e+09, 1.839112740000000000e+09
1.839155940000000000e+09, 1.839156420000000000e+09
1.839199620000000000e+09, 1.839200100000000000e+09
1.839243300000000000e+09, 1.839243780000000000e+09
1.839286980000000000e+09, 1.839287460000000000e+09
1.839330660000000000e+09, 1.839331140000000000e+09
1.839374340000000000e+09, 1.839374820000000000e+09
1.839418020000000000e+09, 1.839418500000000000e+09
1.839461700000000000e+09, 1.839462180000000000e+09
1.839505380000000000e+09, 1.839505860000000000e+09
1.839549060000000000e+09, 1.839549540000000000e+09
1.839592740000000000e+09, 1.839593220000000000e+09
1.839636420000000000e+09, 1.839636900000000000e+09
1.839680100000000000e+09, 1.839680580000000000e+09
1.839723780000000000e+09, 1.839724260000000000e+09
1.839767460000000000e+09, 1.839767940000000000e+09
1.839811140000000000e+09, 1.839811620000000000e+09
1.839854820000000000e+09, 1.839855300000000000e+09
1.839898500000000000e+09, 1.839898980000000000e+09
1.839942180000000000e+09, 1.839942660000000000e+09
